code,name,price,change,open,high,low,vol,timestamp
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:48:11.093178
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:48:11.093178
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:49:11.131215
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:49:11.131215
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:49:11.131215
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:50:11.173750
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:50:11.173750
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:50:11.173750
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:51:11.214406
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:51:11.214406
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:51:11.214406
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:52:11.252645
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:52:11.252645
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:52:11.252645
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:53:11.318263
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:53:11.318263
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:53:11.318263
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:54:11.360591
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:54:11.360591
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:54:11.360591
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:55:11.434814
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:55:11.434814
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:55:11.434814
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:56:11.473216
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:56:11.473216
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:56:11.473216
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:57:11.510873
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:57:11.510873
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:57:11.510873
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:58:11.550389
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:58:11.550389
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:58:11.550389
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T11:59:11.591177
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T11:59:11.591177
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T11:59:11.591177
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:00:11.631257
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:00:11.631257
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:00:11.631257
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:01:11.669796
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:01:11.669796
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:01:11.669796
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:02:11.707393
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:02:11.707393
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:02:11.707393
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:03:11.750271
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:03:11.750271
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:03:11.750271
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:04:11.791493
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:04:11.791493
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:04:11.791493
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:05:11.829921
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:05:11.829921
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:05:11.829921
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:06:11.865866
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:06:11.865866
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:06:11.865866
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:07:11.905583
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:07:11.905583
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:07:11.905583
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:08:11.946416
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:08:11.946416
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:08:11.946416
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:09:11.984356
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:09:11.984356
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:09:11.984356
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:10:12.026245
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:10:12.026245
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:10:12.026245
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:11:12.066504
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:11:12.066504
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:11:12.066504
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:12:12.108974
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:12:12.108974
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:12:12.108974
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:13:12.145803
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:13:12.145803
sh600519,贵州茅台,1391.45,-0.47,1396.02,1402.83,1388.58,2354360.0,2026-01-15T12:13:12.145803
sh000001,上证指数,4101.5242,-0.6,4106.2241,4133.0726,4097.2578,443933869.0,2026-01-15T12:14:12.192522
sz399006,创业板指,3314.879,-1.02,3318.109,3369.263,3309.062,20528531538.0,2026-01-15T12:14:12.192522
