排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
392,反内卷概念,BK1197,1110.76,-4.29,-0.38,5351380224000,2.46,42,111,拓日新能,9.94
393,胎压监测,BK0898,2765.48,-10.46,-0.38,404012528000,5.29,11,17,启明信息,2.14
394,雅下水电概念,BK1192,1379.16,-5.53,-0.4,1984873872000,2.52,18,35,鱼跃医疗,7.84
395,大飞机,BK0814,2104.11,-8.47,-0.4,2579614432000,5.73,29,67,江顺科技,10.0
396,调味品概念,BK1026,1053.1,-4.26,-0.4,700921632000,2.23,10,20,晨光生物,5.67
397,流感,BK0906,1791.44,-7.43,-0.41,1581523936000,3.85,33,88,泓博医药,16.1
398,肝素概念,BK0944,1030.22,-4.28,-0.41,250851199000,2.17,3,10,常山药业,2.05
399,MLCC,BK0890,3170.26,-12.94,-0.41,362706848000,7.21,6,9,信维通信,1.62
400,水产养殖,BK0967,1037.53,-4.39,-0.42,256083431000,4.61,5,11,大湖股份,1.53
401,氟化工,BK0690,5579.61,-25.29,-0.45,1059616048000,4.27,13,20,东阳光,6.08
402,幽门螺杆菌概念,BK1056,1079.92,-4.94,-0.46,510724352000,5.03,14,36,鱼跃医疗,7.84
403,举牌,BK0685,3178.98,-14.68,-0.46,119576233000,0.58,1,3,海尔生物,3.09
404,人造肉,BK0866,1159.09,-5.31,-0.46,187163890000,3.42,4,14,莲花控股,2.92
405,粮食概念,BK1086,855.25,-4.19,-0.49,252288631000,3.62,7,25,华资实业,4.98
406,免税概念,BK0927,1604.95,-8.43,-0.52,943247568000,2.15,8,18,岭南控股,5.96
407,维生素,BK0895,2160.46,-11.19,-0.52,513869360000,3.74,14,18,新诺威,3.1
408,抗菌面料,BK1116,1776.1,-9.33,-0.52,116053842000,4.25,5,10,南山智尚,5.91
409,通用航空,BK0625,6842.4,-36.62,-0.53,1216524400000,3.25,15,22,万丰奥威,6.26
410,央视50_,BK0610,2548.68,-13.9,-0.54,16790835456000,0.6,15,35,广联达,5.84
411,超级真菌,BK0862,1193.27,-6.51,-0.54,724695264000,3.33,6,16,诚意药业,6.69
412,证金持股,BK0718,1540.12,-8.54,-0.55,39540616704000,1.04,54,158,石基信息,9.97
413,滨海新区,BK0566,11022.95,-62.39,-0.56,224552876000,3.1,5,16,渤海化学,2.05
414,UWB概念,BK0880,2211.61,-12.45,-0.56,496809840000,5.95,13,6,京东方Ａ,3.14
415,GDR,BK0868,1237.87,-6.96,-0.56,1706457696000,1.91,3,7,国轩高科,1.01
416,PEEK材料概念,BK1156,1972.13,-11.04,-0.56,794629936000,5.3,11,31,超捷股份,6.25
417,超级品牌,BK0811,2345.17,-13.36,-0.57,7868177152000,2.31,6,25,张小泉,1.62
418,超导概念,BK0679,7093.3,-41.35,-0.58,443095872000,7.81,9,9,辰光医疗,3.7
419,AH股,BK0499,9720.02,-56.25,-0.58,42514244352000,0.77,42,125,金隅集团,9.86
420,破净股,BK1112,1530.02,-9.04,-0.59,21138034432000,0.97,50,207,金隅集团,9.86
421,长寿药,BK0936,1221.21,-7.34,-0.6,163194687000,7.96,5,10,友阿股份,1.66
422,上证180_,BK0612,1786.38,-10.79,-0.6,50750282496000,0.8,44,135,龙芯中科,10.49
423,CAR-T细胞疗法,BK0986,1378.28,-8.4,-0.61,626612192000,6.84,6,18,博腾股份,7.3
424,生物质能发电,BK1098,1088.95,-6.97,-0.64,248932195000,2.36,4,20,武汉天源,3.6
425,上证50_,BK0611,2217.27,-14.43,-0.65,29393095424000,0.43,10,39,海光信息,6.76
426,阿兹海默,BK0894,2188.25,-15.53,-0.7,224798965000,5.48,6,13,诺唯赞,2.65
427,民爆概念,BK1066,1702.97,-12.79,-0.75,281204240000,2.9,4,17,金奥博,1.1
428,核污染防治,BK0983,1827.9,-14.58,-0.79,447170000000,2.5,12,20,优利德,2.59
429,空间站概念,BK0994,3103.44,-26.39,-0.84,476865008000,17.71,10,10,烽火电子,7.28
430,重组蛋白,BK1063,1177.8,-10.28,-0.87,276719008000,5.33,4,15,成都先导,6.43
431,京东金融,BK0849,2331.86,-20.54,-0.87,255885996000,3.69,4,6,神州信息,3.37
432,代糖概念,BK0938,1172.72,-10.42,-0.88,169644447000,3.98,1,12,晨光生物,5.67
433,退税商店,BK0933,1543.79,-13.75,-0.88,197856911000,4.88,4,7,翠微股份,3.69
434,科创板做市商,BK1107,1596.83,-14.11,-0.88,2119353424000,1.47,1,13,财通证券,0.45
435,钛白粉,BK0805,1366.29,-13.6,-0.99,205778454000,2.88,5,7,振华股份,1.44
436,单抗概念,BK0870,1879.77,-20.14,-1.06,1915494480000,2.69,8,40,沃森生物,3.74
437,碳基材料,BK1006,1146.56,-12.55,-1.08,204367710000,5.31,5,14,福达合金,1.69
438,机器人执行器,BK1145,2203.87,-24.8,-1.11,840030448000,5.67,8,26,奕帆传动,6.46
439,航母概念,BK0715,1191.98,-15.52,-1.29,1285605168000,4.64,9,21,海格通信,10.0
440,锂矿概念,BK1173,2033.41,-29.31,-1.42,4187412880000,4.01,10,28,东阳光,6.08
441,同步磁阻电机,BK1131,2712.02,-40.72,-1.48,135591379000,6.49,1,6,英威腾,1.2
